2018-07-17 22:58:14,534 INFO  [SitePage] Перевіряємо валюту 
2018-07-17 23:14:57,774 INFO  [SitePage] Перевіряємо валюту 
2018-07-17 23:14:58,131 INFO  [SitePage] Відкриваєм випадаючий список валют 
2018-07-17 23:15:01,596 INFO  [SitePage] Встановлюємо валюту USD 
2018-07-17 23:15:03,079 INFO  [SitePage] Виконуємо пошук в каталозі 
2018-07-17 23:15:03,114 INFO  [SitePage] Перевіряємо чи сторінка "Результати пошуку"  містить напис "Товаров: Х"  
2018-07-17 23:15:03,134 INFO  [SitePage] Перевіряємо чи в написі "Товаров: Х" Х відповідає дійсно знайденим товарам  
2018-07-17 23:15:03,187 INFO  [SitePage] Перевіряємо чи ціна показаних товарів відображається в доларах 
2018-07-17 23:15:03,487 INFO  [SitePage] Відкриваємо випадаючий список з варіантами сортування товару 
2018-07-17 23:15:05,607 INFO  [SitePage] Іибераємо сортування "Від високої до низької"  
2018-07-17 23:15:07,633 INFO  [SitePage] Перевіряємо чи товари відсортовані правильно по ціні, з урахуванням що у товарів зі знижкою, ціна при сортуванні використовується без знижки 
2018-07-17 23:15:07,849 INFO  [SitePage] Перевіряємо, що в товарів зі знижкою, ціна до і після знижки співпадає з вказаним розміром знижки 
2018-07-17 23:21:20,642 INFO  [SitePage] Перевіряємо, чи ціна в секції "Популярні товари" вказана у відповідності з встановленою валютою в шапці сайту. 
2018-07-17 23:21:21,013 INFO  [SitePage] Відкриваємо випадаючий список валют. 
2018-07-17 23:21:24,548 INFO  [SitePage] Встановлюємо валюту USD. 
2018-07-17 23:21:26,190 INFO  [SitePage] Виконуємо пошук в каталозі. 
2018-07-17 23:21:26,225 INFO  [SitePage] Перевіряємо, чи сторінка "Результати пошуку"  містить напис "Товаров: Х". 
2018-07-17 23:21:26,242 INFO  [SitePage] Перевіряємо, чи в написі "Товаров: Х" Х відповідає дійсно знайденим товарам. 
2018-07-17 23:21:26,270 INFO  [SitePage] Перевіряємо, чи ціна показаних товарів відображається в доларах. 
2018-07-17 23:21:26,577 INFO  [SitePage] Відкриваємо випадаючий список з варіантами сортування товару. 
